TransactionID,Amount,Date,ReferenceNo
TXN-10097,4207.41,29-01-2026,REF-50097
TXN-10098,4207.41,29-01-2026,REF-50098
TXN-10099,4207.41,29-01-2026,REF-50099
TXN-10100,4207.41,29-01-2026,REF-50100
TXN-10101,4207.41,29-01-2026,REF-50101
TXN-10102,4207.41,29-01-2026,REF-50102
TXN-10103,4207.41,29-01-2026,REF-50103
TXN-10104,4207.41,29-01-2026,REF-50104
TXN-10105,4207.41,29-01-2026,REF-50105
TXN-10106,4207.41,29-01-2026,REF-50106
TXN-10107,4207.41,29-01-2026,REF-50107
TXN-10108,4207.41,29-01-2026,REF-50108
TXN-10109,4207.41,29-01-2026,REF-50109
TXN-10110,4207.41,29-01-2026,REF-50110
TXN-10111,4207.41,29-01-2026,REF-50111
TXN-10112,4207.41,29-01-2026,REF-50112
TXN-10113,4207.41,29-01-2026,REF-50113
TXN-10114,4207.41,29-01-2026,REF-50114
TXN-10115,4207.41,29-01-2026,REF-50115
TXN-10116,4207.41,29-01-2026,REF-50116
TXN-10117,4207.41,29-01-2026,REF-50117
TXN-10118,4207.41,29-01-2026,REF-50118
TXN-10119,4207.41,29-01-2026,REF-50119
TXN-10120,4207.41,29-01-2026,REF-50120
TXN-10121,4207.41,29-01-2026,REF-50121
TXN-10122,4207.41,29-01-2026,REF-50122
TXN-10123,4207.41,29-01-2026,REF-50123
TXN-10124,4207.41,29-01-2026,REF-50124
TXN-10125,4207.41,29-01-2026,REF-50125
TXN-10126,4207.41,29-01-2026,REF-50126
TXN-10127,4207.41,29-01-2026,REF-50127
TXN-10128,4207.41,29-01-2026,REF-50128
TXN-10129,4207.41,29-01-2026,REF-50129
TXN-10130,4207.41,29-01-2026,REF-50130
TXN-10131,4207.41,29-01-2026,REF-50131
TXN-10132,4207.41,29-01-2026,REF-50132
TXN-10133,4207.41,29-01-2026,REF-50133
TXN-10134,4207.41,29-01-2026,REF-50134
TXN-10135,4207.41,29-01-2026,REF-50135
TXN-10136,4207.41,29-01-2026,REF-50136
TXN-10137,4207.41,29-01-2026,REF-50137
TXN-10138,4207.41,29-01-2026,REF-50138
TXN-10139,4207.41,29-01-2026,REF-50139
TXN-10140,4207.41,29-01-2026,REF-50140
TXN-10141,4207.41,29-01-2026,REF-50141
TXN-10142,4207.41,29-01-2026,REF-50142
TXN-10143,4207.41,29-01-2026,REF-50143
TXN-10144,4207.41,29-01-2026,REF-50144
TXN-10145,4207.41,29-01-2026,REF-50145
TXN-10146,4207.41,29-01-2026,REF-50146
TXN-10147,4207.41,29-01-2026,REF-50147
TXN-10148,4207.41,29-01-2026,REF-50148
TXN-10149,4207.41,29-01-2026,REF-50149
TXN-10150,4207.41,29-01-2026,REF-50150
TXN-10151,4207.41,29-01-2026,REF-50151
TXN-10152,4207.41,29-01-2026,REF-50152
TXN-10153,4207.41,29-01-2026,REF-50153
TXN-10154,4207.41,29-01-2026,REF-50154
TXN-10155,4207.41,29-01-2026,REF-50155
TXN-10156,4207.41,29-01-2026,REF-50156
TXN-10157,4207.41,29-01-2026,REF-50157
TXN-10158,4207.41,29-01-2026,REF-50158
TXN-10159,4207.41,29-01-2026,REF-50159
TXN-10160,4207.41,29-01-2026,REF-50160
TXN-10161,4207.41,29-01-2026,REF-50161
TXN-10162,4207.41,29-01-2026,REF-50162
TXN-10163,4207.41,29-01-2026,REF-50163
TXN-10164,4207.41,29-01-2026,REF-50164
TXN-10165,4207.41,29-01-2026,REF-50165
TXN-10166,4207.41,29-01-2026,REF-50166
TXN-10167,4207.41,29-01-2026,REF-50167
TXN-10168,4207.41,29-01-2026,REF-50168
TXN-10169,4207.41,29-01-2026,REF-50169
TXN-10170,4207.41,29-01-2026,REF-50170
TXN-10171,4207.41,29-01-2026,REF-50171
TXN-10172,4207.41,29-01-2026,REF-50172
TXN-10173,4207.41,29-01-2026,REF-50173
TXN-10174,4207.41,29-01-2026,REF-50174
TXN-10175,4207.41,29-01-2026,REF-50175
TXN-10176,4207.41,29-01-2026,REF-50176
TXN-10177,4207.41,29-01-2026,REF-50177
TXN-10178,4207.41,29-01-2026,REF-50178
TXN-10179,4207.41,29-01-2026,REF-50179
TXN-10180,4207.41,29-01-2026,REF-50180
TXN-10181,4207.41,29-01-2026,REF-50181
TXN-10182,4207.41,29-01-2026,REF-50182
TXN-10183,4207.41,29-01-2026,REF-50183
TXN-10184,4207.41,29-01-2026,REF-50184
TXN-10185,4207.41,29-01-2026,REF-50185
TXN-10186,4207.41,29-01-2026,REF-50186
TXN-10187,4207.41,29-01-2026,REF-50187
TXN-10188,4207.41,29-01-2026,REF-50188
TXN-10189,4207.41,29-01-2026,REF-50189
TXN-10190,4207.41,29-01-2026,REF-50190
TXN-10191,4207.41,29-01-2026,REF-50191
TXN-10192,4207.41,29-01-2026,REF-50192
TXN-10193,4207.41,29-01-2026,REF-50193
TXN-10194,4207.41,29-01-2026,REF-50194
TXN-10195,4207.41,29-01-2026,REF-50195
TXN-10196,4207.41,29-01-2026,REF-50196
TXN-10197,4207.41,29-01-2026,REF-50197
TXN-10198,4207.41,29-01-2026,REF-50198
TXN-10199,4207.41,29-01-2026,REF-50199
TXN-10200,4207.41,29-01-2026,REF-50200
TXN-10201,4207.41,29-01-2026,REF-50201
TXN-10202,4207.41,29-01-2026,REF-50202
TXN-10203,4207.41,29-01-2026,REF-50203
TXN-10204,4207.41,29-01-2026,REF-50204
TXN-10205,4207.41,29-01-2026,REF-50205
TXN-10206,4207.41,29-01-2026,REF-50206
TXN-10207,4207.41,29-01-2026,REF-50207
TXN-10208,4207.41,29-01-2026,REF-50208
TXN-10209,4207.41,29-01-2026,REF-50209
TXN-10210,4207.41,29-01-2026,REF-50210
TXN-10211,4207.41,29-01-2026,REF-50211
TXN-10212,4207.41,29-01-2026,REF-50212
TXN-10213,4207.41,29-01-2026,REF-50213
TXN-10214,4207.41,29-01-2026,REF-50214
TXN-10215,4207.41,29-01-2026,REF-50215
TXN-10216,4207.41,29-01-2026,REF-50216
TXN-10217,4207.41,29-01-2026,REF-50217
TXN-10218,4207.41,29-01-2026,REF-50218
TXN-10219,4207.41,29-01-2026,REF-50219
TXN-10220,4207.41,29-01-2026,REF-50220
TXN-10221,4207.41,29-01-2026,REF-50221
TXN-10222,4207.41,29-01-2026,REF-50222
TXN-10223,4207.41,29-01-2026,REF-50223
TXN-10224,4207.41,29-01-2026,REF-50224
TXN-10225,4207.41,29-01-2026,REF-50225
TXN-10226,4207.41,29-01-2026,REF-50226
TXN-10227,4207.41,29-01-2026,REF-50227
TXN-10228,4207.41,29-01-2026,REF-50228
TXN-10229,4207.41,29-01-2026,REF-50229
TXN-10230,4207.41,29-01-2026,REF-50230
TXN-10231,4207.41,29-01-2026,REF-50231
TXN-10232,4207.41,29-01-2026,REF-50232
TXN-10233,4207.41,29-01-2026,REF-50233
TXN-10234,4207.41,29-01-2026,REF-50234
TXN-10235,4207.41,29-01-2026,REF-50235
TXN-10236,4207.41,29-01-2026,REF-50236
TXN-10237,4207.41,29-01-2026,REF-50237
TXN-10238,4207.41,29-01-2026,REF-50238
TXN-10239,4207.41,29-01-2026,REF-50239
TXN-10240,4207.41,29-01-2026,REF-50240
TXN-10241,4207.41,29-01-2026,REF-50241
TXN-10242,4207.41,29-01-2026,REF-50242
TXN-10243,4207.41,29-01-2026,REF-50243
TXN-10244,4207.41,29-01-2026,REF-50244
TXN-10245,4207.41,29-01-2026,REF-50245
TXN-10246,4207.41,29-01-2026,REF-50246
TXN-10247,4207.41,29-01-2026,REF-50247
TXN-10248,4207.41,29-01-2026,REF-50248
TXN-10249,4207.41,29-01-2026,REF-50249
TXN-10250,4207.41,29-01-2026,REF-50250
TXN-10251,4207.41,29-01-2026,REF-50251
TXN-10252,4207.41,29-01-2026,REF-50252
TXN-10253,4207.41,29-01-2026,REF-50253
TXN-10254,4207.41,29-01-2026,REF-50254
TXN-10255,4207.41,29-01-2026,REF-50255
TXN-10256,4207.41,29-01-2026,REF-50256
TXN-10257,4207.41,29-01-2026,REF-50257
TXN-10258,4207.41,29-01-2026,REF-50258
TXN-10259,4207.41,29-01-2026,REF-50259
TXN-10260,4207.41,29-01-2026,REF-50260
TXN-10261,4207.41,29-01-2026,REF-50261
TXN-10262,4207.41,29-01-2026,REF-50262
TXN-10263,4207.41,29-01-2026,REF-50263
TXN-10264,4207.41,29-01-2026,REF-50264
TXN-10265,4207.41,29-01-2026,REF-50265
TXN-10266,4207.41,29-01-2026,REF-50266
TXN-10267,4207.41,29-01-2026,REF-50267
TXN-10268,4207.41,29-01-2026,REF-50268
TXN-10269,4207.41,29-01-2026,REF-50269
TXN-10270,4207.41,29-01-2026,REF-50270
TXN-10271,4207.41,29-01-2026,REF-50271
TXN-10272,4207.41,29-01-2026,REF-50272
TXN-10273,4207.41,29-01-2026,REF-50273
TXN-10274,4207.41,29-01-2026,REF-50274
TXN-10275,4207.41,29-01-2026,REF-50275
TXN-10276,4207.41,29-01-2026,REF-50276
TXN-10277,4207.41,29-01-2026,REF-50277
TXN-10278,4207.41,29-01-2026,REF-50278
TXN-10279,4207.41,29-01-2026,REF-50279
TXN-10280,4207.41,29-01-2026,REF-50280
TXN-10281,4207.41,29-01-2026,REF-50281
TXN-10282,4207.41,29-01-2026,REF-50282
TXN-10283,4207.41,29-01-2026,REF-50283
TXN-10284,4207.41,29-01-2026,REF-50284
TXN-10285,4207.41,29-01-2026,REF-50285
TXN-10286,4207.41,29-01-2026,REF-50286
TXN-10287,4207.41,29-01-2026,REF-50287
TXN-10288,4207.41,29-01-2026,REF-50288
TXN-10289,4207.41,29-01-2026,REF-50289
TXN-10290,4207.41,29-01-2026,REF-50290
TXN-10291,4207.41,29-01-2026,REF-50291
TXN-10292,4207.41,29-01-2026,REF-50292
TXN-10293,4207.41,29-01-2026,REF-50293
TXN-10294,4207.41,29-01-2026,REF-50294
TXN-10295,4207.41,29-01-2026,REF-50295
TXN-10296,4207.41,29-01-2026,REF-50296
TXN-10297,4207.41,29-01-2026,REF-50297
TXN-10298,4207.41,29-01-2026,REF-50298
TXN-10299,4207.41,29-01-2026,REF-50299
TXN-10300,4207.41,29-01-2026,REF-50300
TXN-10301,4207.41,29-01-2026,REF-50301
TXN-10302,4207.41,29-01-2026,REF-50302
TXN-10303,4207.41,29-01-2026,REF-50303
TXN-10304,4207.41,29-01-2026,REF-50304
TXN-10305,4207.41,29-01-2026,REF-50305
TXN-10306,4207.41,29-01-2026,REF-50306
TXN-10307,4207.41,29-01-2026,REF-50307
TXN-10308,4207.41,29-01-2026,REF-50308
TXN-10309,4207.41,29-01-2026,REF-50309
TXN-10310,4207.41,29-01-2026,REF-50310
TXN-10311,4207.41,29-01-2026,REF-50311
TXN-10312,4207.41,29-01-2026,REF-50312
TXN-10313,4207.41,29-01-2026,REF-50313
TXN-10314,4207.41,29-01-2026,REF-50314
TXN-10315,4207.41,29-01-2026,REF-50315
TXN-10316,4207.41,29-01-2026,REF-50316
TXN-10317,4207.41,29-01-2026,REF-50317
TXN-10318,4207.41,29-01-2026,REF-50318
TXN-10319,4207.41,29-01-2026,REF-50319
TXN-10320,4207.41,29-01-2026,REF-50320
TXN-10321,4207.41,29-01-2026,REF-50321
TXN-10322,4207.41,29-01-2026,REF-50322
TXN-10323,4207.41,29-01-2026,REF-50323
TXN-10324,4207.41,29-01-2026,REF-50324
TXN-10325,4207.41,29-01-2026,REF-50325
TXN-10326,4207.41,29-01-2026,REF-50326
TXN-10327,4207.41,29-01-2026,REF-50327
TXN-10328,4207.41,29-01-2026,REF-50328
TXN-10329,4207.41,29-01-2026,REF-50329
TXN-10330,4207.41,29-01-2026,REF-50330
TXN-10331,4207.41,29-01-2026,REF-50331
TXN-10332,4207.41,29-01-2026,REF-50332
TXN-10333,4207.41,29-01-2026,REF-50333
TXN-10334,4207.41,29-01-2026,REF-50334
TXN-10335,4207.41,29-01-2026,REF-50335
TXN-10336,4207.41,29-01-2026,REF-50336
TXN-10337,4207.41,29-01-2026,REF-50337
TXN-10338,4207.41,29-01-2026,REF-50338
TXN-10339,4207.41,29-01-2026,REF-50339
TXN-10340,4207.41,29-01-2026,REF-50340
TXN-10341,4207.41,29-01-2026,REF-50341
TXN-10342,4207.41,29-01-2026,REF-50342
TXN-10343,4207.41,29-01-2026,REF-50343
TXN-10344,4207.41,29-01-2026,REF-50344
TXN-10345,4207.41,29-01-2026,REF-50345
TXN-10346,4207.41,29-01-2026,REF-50346
TXN-10347,4207.41,29-01-2026,REF-50347
TXN-10348,4207.41,29-01-2026,REF-50348
TXN-10349,4207.41,29-01-2026,REF-50349
TXN-10350,4207.41,29-01-2026,REF-50350
TXN-10351,4207.41,29-01-2026,REF-50351
TXN-10352,4207.41,29-01-2026,REF-50352
TXN-10353,4207.41,29-01-2026,REF-50353
TXN-10354,4207.41,29-01-2026,REF-50354
TXN-10355,4207.41,29-01-2026,REF-50355
TXN-10356,4207.41,29-01-2026,REF-50356
TXN-10357,4207.41,29-01-2026,REF-50357
TXN-10358,4207.41,29-01-2026,REF-50358
TXN-10359,4207.41,29-01-2026,REF-50359
TXN-10360,4207.41,29-01-2026,REF-50360
TXN-10361,4207.41,29-01-2026,REF-50361
TXN-10362,4207.41,29-01-2026,REF-50362
TXN-10363,4207.41,29-01-2026,REF-50363
TXN-10364,4207.41,29-01-2026,REF-50364
TXN-10365,4207.41,29-01-2026,REF-50365
TXN-10366,4207.41,29-01-2026,REF-50366
TXN-10367,4207.41,29-01-2026,REF-50367
TXN-10368,4207.41,29-01-2026,REF-50368
TXN-10369,4207.41,29-01-2026,REF-50369
TXN-10370,4207.41,29-01-2026,REF-50370
TXN-10371,4207.41,29-01-2026,REF-50371
TXN-10372,4207.41,29-01-2026,REF-50372
TXN-10373,4207.41,29-01-2026,REF-50373
TXN-10374,4207.41,29-01-2026,REF-50374
TXN-10375,4207.41,29-01-2026,REF-50375
TXN-10376,4207.41,29-01-2026,REF-50376
TXN-10377,4207.41,29-01-2026,REF-50377
TXN-10378,4207.41,29-01-2026,REF-50378
TXN-10379,4207.41,29-01-2026,REF-50379
TXN-10380,4207.41,29-01-2026,REF-50380
TXN-10381,4207.41,29-01-2026,REF-50381
TXN-10382,4207.41,29-01-2026,REF-50382
TXN-10383,4207.41,29-01-2026,REF-50383
TXN-10384,4207.41,29-01-2026,REF-50384
TXN-10385,4207.41,29-01-2026,REF-50385
TXN-10386,4207.41,29-01-2026,REF-50386
TXN-10387,4207.41,29-01-2026,REF-50387
TXN-10388,4207.41,29-01-2026,REF-50388
TXN-10389,4207.41,29-01-2026,REF-50389
TXN-10390,4207.41,29-01-2026,REF-50390
TXN-10391,4207.41,29-01-2026,REF-50391
TXN-10392,4207.41,29-01-2026,REF-50392
TXN-10393,4207.41,29-01-2026,REF-50393
TXN-10394,4207.41,29-01-2026,REF-50394
TXN-10395,4207.41,29-01-2026,REF-50395
TXN-10396,4207.41,29-01-2026,REF-50396
TXN-10397,4207.41,29-01-2026,REF-50397
TXN-10398,4207.41,29-01-2026,REF-50398
TXN-10399,4207.41,29-01-2026,REF-50399
TXN-10400,4207.41,29-01-2026,REF-50400
TXN-10401,4207.41,29-01-2026,REF-50401
TXN-10402,4207.41,29-01-2026,REF-50402
TXN-10403,4207.41,29-01-2026,REF-50403
TXN-10404,4207.41,29-01-2026,REF-50404
TXN-10405,4207.41,29-01-2026,REF-50405
TXN-10406,4207.41,29-01-2026,REF-50406
TXN-10407,4207.41,29-01-2026,REF-50407
TXN-10408,4207.41,29-01-2026,REF-50408
TXN-10409,4207.41,29-01-2026,REF-50409
TXN-10410,4207.41,29-01-2026,REF-50410
TXN-10411,4207.41,29-01-2026,REF-50411
TXN-10412,4207.41,29-01-2026,REF-50412
TXN-10413,4207.41,29-01-2026,REF-50413
TXN-10414,4207.41,29-01-2026,REF-50414
TXN-10415,4207.41,29-01-2026,REF-50415
TXN-10416,4207.41,29-01-2026,REF-50416
TXN-10417,4207.41,29-01-2026,REF-50417
TXN-10418,4207.41,29-01-2026,REF-50418
TXN-10419,4207.41,29-01-2026,REF-50419
TXN-10420,4207.41,29-01-2026,REF-50420
TXN-10421,4207.41,29-01-2026,REF-50421
TXN-10422,4207.41,29-01-2026,REF-50422
TXN-10423,4207.41,29-01-2026,REF-50423
TXN-10424,4207.41,29-01-2026,REF-50424
TXN-10425,4207.41,29-01-2026,REF-50425
TXN-10426,4207.41,29-01-2026,REF-50426
TXN-10427,4207.41,29-01-2026,REF-50427
TXN-10428,4207.41,29-01-2026,REF-50428
TXN-10429,4207.41,29-01-2026,REF-50429
TXN-10430,4207.41,29-01-2026,REF-50430
TXN-10431,4207.41,29-01-2026,REF-50431
TXN-10432,4207.41,29-01-2026,REF-50432
TXN-10433,4207.41,29-01-2026,REF-50433
TXN-10434,4207.41,29-01-2026,REF-50434
TXN-10435,4207.41,29-01-2026,REF-50435
TXN-10436,4207.41,29-01-2026,REF-50436
TXN-10437,4207.41,29-01-2026,REF-50437
TXN-10438,4207.41,29-01-2026,REF-50438
TXN-10439,4207.41,29-01-2026,REF-50439
TXN-10440,4207.41,29-01-2026,REF-50440
TXN-10441,4207.41,29-01-2026,REF-50441
TXN-10442,4207.41,29-01-2026,REF-50442
TXN-10443,4207.41,29-01-2026,REF-50443
TXN-10444,4207.41,29-01-2026,REF-50444
TXN-10445,4207.41,29-01-2026,REF-50445
TXN-10446,4207.41,29-01-2026,REF-50446
TXN-10447,4207.41,29-01-2026,REF-50447
TXN-10448,4207.41,29-01-2026,REF-50448
TXN-10449,4207.41,29-01-2026,REF-50449
TXN-10450,4207.41,29-01-2026,REF-50450
TXN-10451,4207.41,29-01-2026,REF-50451
TXN-10452,4207.41,29-01-2026,REF-50452
TXN-10453,4207.41,29-01-2026,REF-50453
TXN-10454,4207.41,29-01-2026,REF-50454
TXN-10455,4207.41,29-01-2026,REF-50455
TXN-10456,4207.41,29-01-2026,REF-50456
TXN-10457,4207.41,29-01-2026,REF-50457
TXN-10458,4207.41,29-01-2026,REF-50458
TXN-10459,4207.41,29-01-2026,REF-50459
TXN-10460,4207.41,29-01-2026,REF-50460
TXN-10461,4207.41,29-01-2026,REF-50461
TXN-10462,4207.41,29-01-2026,REF-50462
TXN-10463,4207.41,29-01-2026,REF-50463
TXN-10464,4207.41,29-01-2026,REF-50464
TXN-10465,4207.41,29-01-2026,REF-50465
TXN-10466,4207.41,29-01-2026,REF-50466
TXN-10467,4207.41,29-01-2026,REF-50467
TXN-10468,4207.41,29-01-2026,REF-50468
TXN-10469,4207.41,29-01-2026,REF-50469
TXN-10470,4207.41,29-01-2026,REF-50470
TXN-10471,4207.41,29-01-2026,REF-50471
TXN-10472,4207.41,29-01-2026,REF-50472
TXN-10473,4207.41,29-01-2026,REF-50473
TXN-10474,4207.41,29-01-2026,REF-50474
TXN-10475,4207.41,29-01-2026,REF-50475
TXN-10476,4207.41,29-01-2026,REF-50476
TXN-10477,4207.41,29-01-2026,REF-50477
TXN-10478,4207.41,29-01-2026,REF-50478
TXN-10479,4207.41,29-01-2026,REF-50479
TXN-10480,4207.41,29-01-2026,REF-50480
TXN-10481,4207.41,29-01-2026,REF-50481
TXN-10482,4207.41,29-01-2026,REF-50482
TXN-10483,4207.41,29-01-2026,REF-50483
TXN-10484,4207.41,29-01-2026,REF-50484
TXN-10485,4207.41,29-01-2026,REF-50485
TXN-10486,4207.41,29-01-2026,REF-50486
TXN-10487,4207.41,29-01-2026,REF-50487
TXN-10488,4207.41,29-01-2026,REF-50488
TXN-10489,4207.41,29-01-2026,REF-50489
TXN-10490,4207.41,29-01-2026,REF-50490
TXN-10491,4207.41,29-01-2026,REF-50491
TXN-10492,4207.41,29-01-2026,REF-50492
TXN-10493,4207.41,29-01-2026,REF-50493
TXN-10494,4207.41,29-01-2026,REF-50494
TXN-10495,4207.41,29-01-2026,REF-50495
TXN-10496,4207.41,29-01-2026,REF-50496
TXN-10497,4207.41,29-01-2026,REF-50497
TXN-10498,4207.41,29-01-2026,REF-50498
TXN-10499,4207.41,29-01-2026,REF-50499
TXN-10500,4207.41,29-01-2026,REF-50500
TXN-10501,4207.41,29-01-2026,REF-50501
TXN-10502,4207.41,29-01-2026,REF-50502
TXN-10503,4207.41,29-01-2026,REF-50503
TXN-10504,4207.41,29-01-2026,REF-50504
TXN-10505,4207.41,29-01-2026,REF-50505
TXN-10506,4207.41,29-01-2026,REF-50506
TXN-10507,4207.41,29-01-2026,REF-50507
TXN-10508,4207.41,29-01-2026,REF-50508
TXN-10509,4207.41,29-01-2026,REF-50509
TXN-10510,4207.41,29-01-2026,REF-50510
TXN-10511,4207.41,29-01-2026,REF-50511
TXN-10512,4207.41,29-01-2026,REF-50512
TXN-10513,4207.41,29-01-2026,REF-50513
TXN-10514,4207.41,29-01-2026,REF-50514
TXN-10515,4207.41,29-01-2026,REF-50515
TXN-10516,4207.41,29-01-2026,REF-50516
TXN-10517,4207.41,29-01-2026,REF-50517
TXN-10518,4207.41,29-01-2026,REF-50518
TXN-10519,4207.41,29-01-2026,REF-50519
TXN-10520,4207.41,29-01-2026,REF-50520
TXN-10521,4207.41,29-01-2026,REF-50521
TXN-10522,4207.41,29-01-2026,REF-50522
TXN-10523,4207.41,29-01-2026,REF-50523
TXN-10524,4207.41,29-01-2026,REF-50524
TXN-10525,4207.41,29-01-2026,REF-50525
TXN-10526,4207.41,29-01-2026,REF-50526
TXN-10527,4207.41,29-01-2026,REF-50527
TXN-10528,4207.41,29-01-2026,REF-50528
TXN-10529,4207.41,29-01-2026,REF-50529
TXN-10530,4207.41,29-01-2026,REF-50530
TXN-10531,4207.41,29-01-2026,REF-50531
TXN-10532,4207.41,29-01-2026,REF-50532
TXN-10533,4207.41,29-01-2026,REF-50533
TXN-10534,4207.41,29-01-2026,REF-50534
TXN-10535,4207.41,29-01-2026,REF-50535
TXN-10536,4207.41,29-01-2026,REF-50536
TXN-10537,4207.41,29-01-2026,REF-50537
TXN-10538,4207.41,29-01-2026,REF-50538
TXN-10539,4207.41,29-01-2026,REF-50539
TXN-10540,4207.41,29-01-2026,REF-50540
TXN-10541,4207.41,29-01-2026,REF-50541
TXN-10542,4207.41,29-01-2026,REF-50542
TXN-10543,4207.41,29-01-2026,REF-50543
TXN-10544,4207.41,29-01-2026,REF-50544
TXN-10545,4207.41,29-01-2026,REF-50545
TXN-10546,4207.41,29-01-2026,REF-50546
TXN-10547,4207.41,29-01-2026,REF-50547
TXN-10548,4207.41,29-01-2026,REF-50548
TXN-10549,4207.41,29-01-2026,REF-50549
TXN-10550,4207.41,29-01-2026,REF-50550
TXN-10551,4207.41,29-01-2026,REF-50551
TXN-10552,4207.41,29-01-2026,REF-50552
TXN-10553,4207.41,29-01-2026,REF-50553
TXN-10554,4207.41,29-01-2026,REF-50554
TXN-10555,4207.41,29-01-2026,REF-50555
TXN-10556,4207.41,29-01-2026,REF-50556
TXN-10557,4207.41,29-01-2026,REF-50557
TXN-10558,4207.41,29-01-2026,REF-50558
